SPECIES,CT.POS,ORIENT,GAIT,DIST,LOIT,TRIGGER,AIR
BADGER,SNIG,A,W,1,0,1,0.89
FOX,FF,L,T,3,0,1,1.11
FOX,SF,L,T,5,0,0,1.11
FOX,AP,L,T,1,0,1,1.11
FOX,SNIG,A,T,1,0,1,1.11
FOX,FF,L,W,3,0,1,1.11
FOX,SF,L,T,7,0,0,1.11
FOX,AP,L,T,1,0,0,1.11
FOX,SNIG,A,T,1,0,0,1.11
FOX,FF,L,T,3,0,1,4.73
FOX,SF,L,T,7,0,0,4.73
FOX,AP,L,T,1,0,0,4.73
FOX,SNIG,A,T,1,0,1,4.73
FOX,SNIG,P,W,1,0,1,4.73
FOX,AP,L,W,1,0,0,4.73
FOX,SF,L,W,7,0,0,4.73
FOX,FF,L,W,3,0,1,4.73
BADGER,SNIG,P,W,1,0,1,3.58
BADGER,AP,L,W,1,0,1,3.58
BADGER,SF,L,W,7,1,0,3.58
BADGER,FF,L,T,3,0,1,3.58
BADGER,SNIG,P,R,1,0,1,3.16
BADGER,AP,L,R,1,0,1,3.16
BADGER,SF,L,R,7,0,0,3.16
BADGER,FF,L,R,3,0,0,3.16
BADGER,SF,L,R,7,0,0,3.16
BADGER,FF,L,R,3,0,1,3.16
BADGER,AP,L,R,1,0,0,3.16
BADGER,SNIG,A,R,1,0,1,3.16
BADGER,SNIG,P,W,1,0,1,3.16
BADGER,AP,L,W,1,0,1,3.16
BADGER,SF,L,W,7,0,1,3.16
BADGER,FF,L,W,3,0,1,3.16
BADGER,FF,L,W,1,0,1,3.16
BADGER,SF,L,W,1,0,1,3.16
BADGER,AP,L,W,7,0,0,3.16
FOX,SNIG,A,R,1,0,0,1.33
FOX,AP,L,R,1,0,0,1.33
FOX,SF,L,R,7,0,0,1.33
FOX,FF,L,R,3,0,0,1.33
FOX,FF,L,W,3,0,1,1.33
FOX,SF,L,W,6,0,0,1.33
FOX,AP,L,W,1,0,0,1.33
FOX,SNIG,A,W,1,0,0,1.33
FOX,SNIG,L,W,2,0,0,5.04
FOX,AP,L,W,1,0,0,5.04
FOX,SF,L,W,6,0,1,5.04
FOX,FF,L,W,6,0,0,5.04
FOX,SF,L,W,5,0,0,5.04
FOX,FF,L,W,2,0,1,5.04
FOX,AP,A,W,1,0,0,5.04
FOX,SNIG,L,W,4,0,1,5.04
FOX,SF,L,W,7,0,1,3.68
FOX,SNIG,A,W,1,0,0,3.68
FOX,AP,L,W,1,0,0,3.68
FOX,FF,L,W,3,0,1,3.68
BADGER,SNIG,P,W,1,0,1,3.68
BADGER,AP,L,W,1,0,1,3.68
BADGER,SF,L,W,7,1,0,3.68
BADGER,FF,L,W,3,1,1,3.68
FOX,FF,L,W,3,1,0,3.89
FOX,FF,L,W,3,0,0,3.89
FOX,FF,A,W,1,0,0,4
FOX,SF,L,W,6,0,0,4
FOX,AP,L,W,1,0,0,4
FOX,SNIG,A,W,1,0,0,4
FOX,FF,A,W,1,1,0,4
FOX,SF,L,W,6,1,0,4
FOX,AP,L,W,1,0,0,4
FOX,SNIG,A,W,1,0,0,4
FOX,FF,A,W,1,0,1,5.04
FOX,SF,L,W,6,0,1,5.04
FOX,AP,L,W,2,0,0,5.04
FOX,SNIG,A,W,1,0,0,5.04
BADGER,FF,L,T,3,0,0,4.83
BADGER,SF,L,T,7,0,0,4.83
BADGER,SNIG,A,T,1,0,0,4.83
FOX,FF,L,W,3,1,0,5.35
FOX,AP,L,T,1,0,1,5.35
FOX,SF,L,T,7,0,0,5.35
FOX,SNIG,A,T,1,1,1,5.35
FOX,SF,L,T,7,0,0,5.35
FOX,FF,A,W,1,0,1,5.35
FOX,AP,L,T,3,0,0,5.35
FOX,SNIG,A,T,1,0,0,5.35
FOX,SF,L,T,4,0,0,5.35
FOX,SF,L,W,6,0,0,3.47
FOX,AP,L,W,2,0,0,3.47
FOX,SNIG,P,W,1,0,0,3.47
FOX,FF,L,W,3,0,1,3.47
BADGER,FF,L,W,3,0,1,4.1
BADGER,AP,A,W,1,0,0,4.1
BADGER,SF,L,W,7,0,0,4.1
FOX,FF,L,W,3,0,1,4.52
FOX,SF,L,W,5,1,1,4.52
FOX,AP,L,W,4,0,0,4.52
FOX,SF,L,W,4,1,1,4.52
FOX,AP,L,W,3,1,0,4.52
FOX,SNIG,P,W,4,0,0,4.52
FOX,FF,L,W,3,0,1,4.52
BADGER,FF,L,W,3,0,0,4.31
FOX,SNIG,L,W,1,0,1,4.83
FOX,AP,L,T,1,0,1,4.83
FOX,FF,L,T,5,0,0,4.83
BADGER,FF,L,W,3,0,0,7.28
BADGER,AP,L,W,1,1,0,7.28
