SPECIES,CT.POS,ORIENT,GAIT,DIST,RAIN,LOIT,TRIGGER,CAPTURE,AIR
BADGER,AP,L,W,1,NO,0,1,1,2.09
BADGER,SF,L,W,6,NO,0,0,NA,2.09
BADGER,FF,L,W,1,NO,0,1,1,2.09
BADGER,AP,L,W,1,NO,0,1,1,2.09
BADGER,SNIG,P,W,3,NO,0,1,1,2.09
BADGER,FF,L,W,2,NO,0,1,0,2.09
FOX,SNIG,A,W,1,NO,0,1,0,2.41
FOX,AP,L,W,1,NO,0,1,1,2.41
FOX,FF,L,W,3,NO,0,1,0,2.41
FOX,SF,L,W,6,NO,0,0,NA,2.41
FOX,AP,L,W,1,NO,0,1,0,2.41
FOX,FF,L,W,3,NO,0,0,NA,2.41
FOX,SF,L,W,5,NO,0,1,0,2.41
FOX,AP,L,R,1,NO,0,1,0,1.87
FOX,SNIG,A,R,1,NO,0,1,0,1.87
FOX,SF,L,R,5,NO,0,0,NA,1.87
FOX,FF,L,R,3,NO,0,1,0,1.87
FOX,AP,L,R,1,NO,0,1,0,1.87
FOX,SF,L,R,5,NO,0,0,NA,1.87
FOX,FF,L,R,1,NO,0,1,0,1.87
FOX,SNIG,L,W,2,NO,0,0,NA,1.44
FOX,SF,A,W,1,NO,0,0,NA,1.44
FOX,FF,L,W,1,NO,0,0,NA,1.44
FOX,FF,L,W,3,NO,0,1,0,1.44
FOX,SF,L,W,5,NO,0,0,NA,1.44
FOX,SNIG,A,W,1,NO,0,0,NA,1.44
FOX,AP,L,W,1,NO,0,1,0,1.44
BADGER,SNIG,P,R,1,NO,0,1,1,1.44
BADGER,AP,L,R,1,NO,0,0,NA,1.44
BADGER,SF,L,W,5,NO,0,0,NA,1.44
BADGER,FF,L,W,3,NO,0,1,0,1.44
FOX,AP,L,W,3,NO,0,0,NA,4.93
FOX,SF,L,W,3,NO,0,1,1,4.93
FOX,AP,L,W,3,NO,0,0,NA,4.93
FOX,FF,L,W,3,NO,0,0,NA,4.93
FOX,FF,L,W,3,YES,0,1,1,4.42
FOX,SF,L,W,5,YES,0,0,NA,4.42
FOX,AP,L,W,1,YES,0,1,0,4.42
FOX,SNIG,A,W,1,YES,0,1,0,4.42
BADGER,FF,L,W,3,NO,0,0,NA,4.1
BADGER,SF,L,W,6,NO,0,0,NA,4.1
BADGER,SNIG,L,W,3,NO,0,0,NA,4.1
BADGER,SF,A,W,1,NO,0,0,NA,4.1
BADGER,FF,L,W,3,NO,0,1,1,4.1
BADGER,SF,L,T,6,YES,0,0,NA,6.57
BADGER,FF,L,T,3,YES,0,1,0,6.57
BADGER,SNIG,A,T,1,YES,0,0,NA,6.57
BADGER,SF,L,T,6,YES,0,0,NA,6.57
BADGER,FF,L,T,3,YES,0,0,NA,6.57
BADGER,SNIG,A,T,1,YES,0,0,NA,6.57
BADGER,SNIG,P,T,1,YES,0,1,1,7.38
BADGER,AP,L,T,1,YES,0,1,0,7.38
BADGER,SF,L,T,5,YES,0,0,NA,7.38
BADGER,FF,L,T,3,YES,0,1,0,7.38
BADGER,SNIG,A,T,1,YES,0,1,0,7.38
BADGER,AP,L,T,1,YES,0,1,0,7.38
BADGER,FF,L,T,3,YES,0,1,0,7.38
BADGER,SF,L,T,6,YES,0,0,NA,7.38
FOX,FF,L,W,3,NO,0,1,0,9.08
FOX,SF,L,W,4,NO,0,0,NA,9.08
FOX,AP,L,W,2,NO,0,0,NA,9.08
FOX,SNIG,A,W,1,NO,0,0,NA,9.08
FOX,FF,L,W,3,NO,1,1,1,8.48
FOX,SF,L,W,5,NO,0,0,NA,8.48
FOX,SNIG,A,W,1,NO,1,0,NA,8.48
FOX,AP,L,W,1,NO,0,0,NA,8.48
FOX,FF,L,W,4,YES,0,1,1,8.48
FOX,SF,L,W,2,YES,0,0,NA,8.48
FOX,AP,L,W,1,YES,0,0,NA,8.48
FOX,SNIG,A,W,1,YES,0,0,NA,8.48
BADGER,SNIG,A,W,1,YES,0,1,0,6.57
BADGER,FF,L,W,3,YES,0,1,1,6.57
BADGER,SF,L,W,5,YES,0,0,NA,6.57
BADGER,AP,L,W,1,YES,0,1,0,6.57
FOX,FF,L,W,3,NO,0,1,0,6.57
FOX,SF,L,W,5,NO,0,0,NA,6.57
FOX,AP,L,W,1,NO,0,1,0,6.57
FOX,SNIG,A,W,1,NO,0,1,0,6.57
BADGER,FF,L,W,3,NO,0,1,1,6.57
BADGER,SF,L,W,5,NO,0,0,NA,6.57
BADGER,AP,L,W,1,NO,0,1,0,6.57
BADGER,SNIG,A,W,1,NO,0,1,0,6.57
